TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
114,2016,Guadalajara,A-2,Autopista libre y autovía,83.0,102.51,19.51,21680.0,15538.0,6142.0,154386532.0,5,1,3.238624
115,2016,Guadalajara,A-2,Autopista libre y autovía,102.51,104.32,1.81,18781.0,12984.0,5797.0,12407667.6,0,0,0.0
116,2016,Guadalajara,A-2,Autopista libre y autovía,104.32,126.34,22.02,18641.0,12703.0,5938.0,149823309.3,4,1,2.669812
117,2016,Guadalajara,A-2,Autopista libre y autovía,126.34,132.68,6.34,18314.0,12274.0,6040.0,42380427.4,2,1,4.71916
118,2016,Guadalajara,A-2,Autopista libre y autovía,132.68,134.76,2.08,18314.0,12274.0,6040.0,13903988.8,1,1,7.192181
119,2016,Guadalajara,A-2,Autopista libre y autovía,134.76,139.46,4.7,16980.0,10938.0,6042.0,29129190.0,1,1,3.432983
120,2016,Soria,A-2,Autopista libre y autovía,139.46,141.42,1.96,16980.0,10938.0,6042.0,12147492.0,0,0,0.0
121,2016,Soria,A-2,Autopista libre y autovía,141.42,143.59,2.17,16127.0,10576.0,5551.0,12773390.4,1,1,7.828775
122,2016,Soria,A-2,Autopista libre y autovía,143.59,145.91,2.32,16127.0,10576.0,5551.0,13656343.6,1,1,7.322604
123,2016,Soria,A-2,Autopista libre y autovía,145.91,150.92,5.01,16127.0,10576.0,5551.0,29490638.6,2,1,6.781813
124,2016,Soria,A-2,Autopista libre y autovía,150.92,153.64,2.72,11540.0,7025.0,4515.0,11456912.0,0,0,0.0
125,2016,Soria,A-2,Autopista libre y autovía,153.64,154.39,0.75,11540.0,7025.0,4515.0,3159075.0,0,0,0.0
126,2016,Soria,A-2,Autopista libre y autovía,154.39,167.08,12.69,11540.0,7025.0,4515.0,53451549.0,5,1,9.354266
127,2016,Soria,A-2,Autopista libre y autovía,167.08,169.47,2.39,11540.0,7025.0,4515.0,10066919.0,0,0,0.0
128,2016,Soria,A-2,Autopista libre y autovía,169.47,176.88,7.41,11709.0,7183.0,4526.0,31668746.8,3,1,9.473062
129,2016,Soria,A-2,Autopista libre y autovía,176.88,178.53,1.65,11709.0,7183.0,4526.0,7051745.2,0,0,0.0
130,2016,Soria,A-2,Autopista libre y autovía,178.53,180.79,2.26,11709.0,7183.0,4526.0,9658754.1,0,0,0.0
131,2016,Zaragoza,A-2,Autopista libre y autovía,180.79,190.51,9.72,13515.0,9154.0,4361.0,47948517.0,1,1,2.08557
132,2016,Zaragoza,A-2,Autopista libre y autovía,190.51,192.83,2.32,13515.0,9154.0,4361.0,11444502.0,1,1,8.73782
133,2016,Zaragoza,A-2,Autopista libre y autovía,192.83,203.03,10.2,13515.0,9154.0,4361.0,50316345.0,2,1,3.974852
134,2016,Zaragoza,A-2,Autopista libre y autovía,203.03,204.24,1.21,14405.0,10105.0,4300.0,6361968.2,0,0,0.0
135,2016,Zaragoza,A-2,Autopista libre y autovía,204.24,211.06,6.82,14405.0,10105.0,4300.0,35858366.5,1,1,2.788749
136,2016,Zaragoza,A-2,Autopista libre y autovía,211.06,218.04,6.98,14405.0,10105.0,4300.0,36699618.5,1,1,2.724824
137,2016,Zaragoza,A-2,Autopista libre y autovía,218.04,226.84,8.8,13939.0,9465.0,4474.0,44772068.0,1,1,2.233535
138,2016,Zaragoza,A-2,Autopista libre y autovía,226.84,233.1,6.26,15541.0,11033.0,4508.0,35509630.9,1,1,2.816137
139,2016,Zaragoza,A-2,Autopista libre y autovía,233.1,237.08,3.98,16879.0,12077.0,4802.0,24520123.3,2,1,8.156566
140,2016,Zaragoza,A-2,Autopista libre y autovía,237.08,244.06,6.98,18472.0,13403.0,5069.0,47061114.4,2,1,4.249793
141,2016,Zaragoza,A-2,Autopista libre y autovía,244.06,252.52,8.46,19229.0,14253.0,4976.0,59377229.1,1,1,1.684147
142,2016,Zaragoza,A-2,Autopista libre y autovía,252.52,254.82,2.3,19605.0,14746.0,4859.0,16458397.5,1,1,6.075926
143,2016,Zaragoza,A-2,Autopista libre y autovía,254.82,260.2,5.38,19605.0,14746.0,4859.0,38498338.5,0,0,0.0
144,2016,Zaragoza,A-2,Autopista libre y autovía,260.2,272.19,11.99,20832.0,15931.0,4901.0,91168123.2,7,1,7.678122
145,2016,Zaragoza,A-2,Autopista libre y autovía,272.19,288.15,15.96,22223.0,17046.0,5177.0,129457864.2,5,1,3.862261
146,2016,Zaragoza,A-2,Autopista libre y autovía,288.15,299.22,11.07,23499.0,18313.0,5186.0,94948884.4,4,1,4.212793
147,2016,Zaragoza,A-2,Autopista libre y autovía,299.22,310.98,11.76,34319.0,28699.0,5620.0,147310875.6,10,1,6.788365
148,2016,Zaragoza,A-2,Autopista libre y autovía,310.98,312.33,1.35,34319.0,28699.0,5620.0,16910687.2,5,1,29.567101
149,2016,Zaragoza,A-2,Autopista libre y autovía,312.33,313.1,0.77,34319.0,28699.0,5620.0,9645355.0,0,0,0.0
150,2016,Zaragoza,A-2,Autopista libre y autovía,313.1,315.96,2.86,58353.0,49223.0,9130.0,60914696.7,3,1,4.92492
151,2016,Zaragoza,A-2,Autopista libre y autovía,315.96,316.84,0.88,61417.0,51184.0,10233.0,19727140.4,2,1,10.138317
152,2016,Zaragoza,A-2,Autopista libre y autovía,316.84,318.04,1.2,68075.0,58466.0,9609.0,29816850.0,3,1,10.061425
153,2016,Zaragoza,A-2,Autopista libre y autovía,318.04,322.49,4.45,81907.0,67953.0,13954.0,133037444.8,12,1,9.020017
154,2016,Zaragoza,A-2,Autopista libre y autovía,322.49,326.08,3.59,65168.0,53164.0,12004.0,85392888.8,5,1,5.855289
155,2016,Zaragoza,A-2,Autopista libre y autovía,326.08,326.52,0.44,51047.0,40488.0,10559.0,8198148.2,2,1,24.395753
156,2016,Zaragoza,A-2,Autopista libre y autovía,326.52,327.68,1.16,51047.0,40488.0,10559.0,21613299.8,1,1,4.626781
157,2016,Zaragoza,A-2,Autopista libre y autovía,327.68,332.0,4.32,40842.0,30301.0,10541.0,64399665.6,3,1,4.658409
158,2016,Zaragoza,A-2,Autopista libre y autovía,332.0,340.3,8.3,27644.0,19084.0,8560.0,83747498.0,6,1,7.164393
159,2016,Huesca,A-2,Autopista libre y autovía,431.01,433.31,2.3,14411.0,7388.0,7023.0,12098034.5,0,0,0.0
160,2016,Huesca,A-2,Autopista libre y autovía,433.31,439.77,6.46,14411.0,7388.0,7023.0,33979696.9,0,0,0.0
161,2016,Huesca,A-2,Autopista libre y autovía,439.77,443.758,3.988,14411.0,7388.0,7023.0,20976939.8,6,1,28.602837
162,2016,Lleida,A-2,Autopista libre y autovía,443.758,446.17,2.412,20983.0,13328.0,7655.0,18473013.5,2,1,10.826604
163,2016,Lleida,A-2,Autopista libre y autovía,446.17,447.79,1.62,20983.0,13328.0,7655.0,12407247.9,1,1,8.059805
164,2016,Lleida,A-2,Autopista libre y autovía,447.79,458.85,11.06,20983.0,13328.0,7655.0,84706272.7,4,1,4.7222
165,2016,Lleida,A-2,Autopista libre y autovía,458.85,462.21,3.36,30500.0,20737.0,9763.0,37405200.0,7,1,18.713976
