TRAMO_ID;anio;provincia;carretera;pk_inicio_km;pk_fin_km;imd_total;tipo_via;proporcion_pesados;EN_TEST_COMUN;MOTIVOS_EXCLUSION_EVALUACION;ESTADO_PREDICCION;PROB_ACCIDENTE_TRAMO_ANIO;FUERA_RANGO_TRAIN;INTERVALO_ID;CLAVE_TRAMO_ANIO;VERSION_MODELO;IMD_IMPUTADO
IMD_39275;2024;Zamora;A-11;417.1;424.4;7629.0;Autopista_autovia;0.2106435968016778;True;;OK;0.5310929048597013;False;Zamora|A-11|417.1|424.4;Zamora|A-11|417.1|424.4|2024;v2 | Random Forest | Base;False
IMD_39276;2024;Zamora;A-11;424.4;438.0;7226.0;Autopista_autovia;0.207860503736507;True;;OK;0.638420793330875;False;Zamora|A-11|424.4|438;Zamora|A-11|424.4|438|2024;v2 | Random Forest | Base;False
IMD_39277;2024;Zamora;A-11;438.0;447.7;7226.0;Autopista_autovia;0.207860503736507;True;;OK;0.535323516775728;False;Zamora|A-11|438|447.7;Zamora|A-11|438|447.7|2024;v2 | Random Forest | Base;False
IMD_39278;2024;Zamora;A-11;447.7;455.82;8893.0;Autopista_autovia;0.2355785449229731;True;;OK;0.7005095729826766;False;Zamora|A-11|447.7|455.82;Zamora|A-11|447.7|455.82|2024;v2 | Random Forest | Base;False
IMD_39279;2024;Zamora;A-11;461.91;462.7;7081.0;Autopista_autovia;0.1907922609800875;True;;OK;0.10666551061714742;False;Zamora|A-11|461.91|462.7;Zamora|A-11|461.91|462.7|2024;v2 | Random Forest | Base;False
IMD_39280;2024;Zamora;A-11;462.7;466.5;4782.0;Autopista_autovia;0.2377666248431618;True;;OK;0.1307362172802618;False;Zamora|A-11|462.7|466.5;Zamora|A-11|462.7|466.5|2024;v2 | Random Forest | Base;False
IMD_39281;2024;Zamora;A-11;466.5;467.3;4782.0;Autopista_autovia;0.2377666248431618;True;;OK;0.08661682923606291;False;Zamora|A-11|466.5|467.3;Zamora|A-11|466.5|467.3|2024;v2 | Random Forest | Base;False
IMD_39282;2024;Burgos;A-11R;0.0;1.49;4866.0;Convencional;0.3397040690505549;True;;OK;0.32412795254334964;False;Burgos|A-11R|0|1.49;Burgos|A-11R|0|1.49|2024;v2 | Random Forest | Base;False
IMD_39283;2024;La Rioja;A-12;78.167;78.9;30729.0;Autopista_autovia;0.1179341989651469;True;;OK;0.37008107150891617;False;La Rioja|A-12|78.167|78.9;La Rioja|A-12|78.167|78.9|2024;v2 | Random Forest | Base;False
IMD_39284;2024;La Rioja;A-12;93.535;96.0;15552.0;Autopista_autovia;0.1109182098765432;True;;OK;0.5033219819480935;False;La Rioja|A-12|93.535|96;La Rioja|A-12|93.535|96|2024;v2 | Random Forest | Base;False
IMD_39285;2024;La Rioja;A-12;96.0;98.6;15552.0;Autopista_autovia;0.1109182098765432;True;;OK;0.5041598855745775;False;La Rioja|A-12|96|98.6;La Rioja|A-12|96|98.6|2024;v2 | Random Forest | Base;False
IMD_39286;2024;La Rioja;A-12;98.6;101.8;15557.0;Autopista_autovia;0.1245741466863791;True;;OK;0.5150189277596087;False;La Rioja|A-12|98.6|101.8;La Rioja|A-12|98.6|101.8|2024;v2 | Random Forest | Base;False
IMD_39287;2024;La Rioja;A-12;101.8;107.9;14334.0;Autopista_autovia;0.1286451792939863;True;;OK;0.656353899269173;False;La Rioja|A-12|101.8|107.9;La Rioja|A-12|101.8|107.9|2024;v2 | Random Forest | Base;False
IMD_39288;2024;La Rioja;A-12;107.9;110.3;10330.0;Autopista_autovia;0.1458857696030977;True;;OK;0.3366175777589725;False;La Rioja|A-12|107.9|110.3;La Rioja|A-12|107.9|110.3|2024;v2 | Random Forest | Base;False
IMD_39289;2024;La Rioja;A-12;110.3;113.8;8317.0;Autopista_autovia;0.1772273656366478;True;;OK;0.3957054004770291;False;La Rioja|A-12|110.3|113.8;La Rioja|A-12|110.3|113.8|2024;v2 | Random Forest | Base;False
IMD_39290;2024;La Rioja;A-12;113.8;117.5;7601.0;Autopista_autovia;0.1770819628996184;True;;OK;0.38127486795810833;False;La Rioja|A-12|113.8|117.5;La Rioja|A-12|113.8|117.5|2024;v2 | Random Forest | Base;False
IMD_39291;2024;La Rioja;A-12;117.5;119.9;7601.0;Autopista_autovia;0.1770819628996184;True;;OK;0.3038061315971054;False;La Rioja|A-12|117.5|119.9;La Rioja|A-12|117.5|119.9|2024;v2 | Random Forest | Base;False
IMD_39292;2024;La Rioja;A-12;119.9;124.8;7601.0;Autopista_autovia;0.1770819628996184;True;;OK;0.4403136890896445;False;La Rioja|A-12|119.9|124.8;La Rioja|A-12|119.9|124.8|2024;v2 | Random Forest | Base;False
